國文,英文,數學,社會,自然
9,8,8,9,13
7,12,13,15,13
11,15,13,8,13
8,8,12,13,7
12,7,8,13,14
12,7,7,7,7
15,7,12,9,13
15,12,14,13,12
11,8,9,9,14
15,13,7,12,12
15,13,9,10,9
13,13,13,8,6
6,8,6,9,9
10,9,11,10,10
8,14,12,10,10
11,9,6,7,11
7,8,12,12,6
7,11,14,9,12
13,15,14,15,15
6,11,10,12,12
10,6,6,15,12
7,13,12,13,11
11,14,12,7,7
7,8,9,14,9
12,6,15,13,7
12,8,11,8,8
8,11,7,10,12
13,10,7,10,7
12,13,11,10,12
11,13,8,11,12
10,7,12,12,7
6,8,7,12,11
10,8,11,9,15
9,6,15,9,13
13,9,10,15,15
13,6,11,15,10
12,8,8,12,7
10,15,14,10,9
6,10,11,6,13
14,9,13,13,7
10,6,14,12,7
11,13,12,12,8
6,6,12,7,10
15,9,12,11,15
6,15,11,7,13
7,7,9,12,9
10,8,9,13,9
10,6,11,10,14
6,15,9,15,8
13,14,15,10,9
10,13,7,8,8
15,11,7,15,10
8,12,10,12,13
8,6,8,7,15
6,13,10,12,12
6,11,13,8,6
14,7,11,12,13
7,14,7,10,11
9,7,7,8,6
8,10,10,14,9
11,8,8,7,13
15,7,8,14,10
13,15,6,14,9
13,15,6,7,9
12,8,8,12,15
9,11,9,12,9
12,6,6,7,8
8,15,11,6,14
8,9,8,14,11
6,10,13,11,7
14,7,11,8,14
12,14,6,10,13
9,8,15,9,14
15,7,13,9,6
9,15,12,9,13
14,11,9,13,10
11,9,6,12,12
14,13,6,14,11
15,12,11,7,9
9,10,9,9,15
15,15,10,9,13
10,9,12,9,6
11,10,12,14,11
9,12,15,15,14
11,12,8,9,7
12,8,7,10,8
10,10,14,11,9
9,7,10,6,6
9,9,7,7,12
6,6,7,7,15
8,7,11,6,10
9,11,7,8,10
14,11,13,6,12
10,9,14,7,9
11,10,14,13,12
6,14,9,12,11
10,15,12,11,6
13,11,15,14,15
11,6,11,11,10
14,14,7,14,6
